Customer ID,Name,Surname,Gender,Age,Job Classification,Date Joined,Balance,Country,City,Credit Rating
100000001,Simon,Walsh,Male,21,White Collar,05.Jan.15,113810.15,United Kingdom,London,Paid Before Time
400000002,Jasmine,Miller,Female,34,Blue Collar,06.Jan.15,36919.73,United Kingdom,London,Paid Before Time
100000003,Liam,Brown,Male,46,White Collar,07.Jan.15,101536.83,Germany,Berlin,Paid Before Time
300000004,Trevor,Parr,Male,32,White Collar,08.Jan.15,1421.52,France,Paris,Paid Before Time
100000005,Deirdre,Pullman,Female,38,Blue Collar,09.Jan.15,35639.79,United Kingdom,London,Paid Before Time
300000006,Ava,Coleman,Female,30,Blue Collar,09.Jan.15,122443.77,France,Paris,Paid Before Time
100000007,Dorothy,Thomson,Female,34,Blue Collar,11.Jan.15,42879.84,Germany,Berlin,Paid Before Time
200000008,Lisa,Knox,Female,48,Other,11.Jan.15,36680.17,Germany,Berlin,Paid Before Time
300000009,Ruth,Campbell,Female,33,White Collar,11.Jan.15,74284.35,France,Paris,Paid Before Time
100000011,Dominic,Lewis,Male,40,White Collar,12.Jan.15,39667.83,Italy,Roncade,Paid Before Time
100000012,Benjamin,Grant,Male,39,White Collar,12.Jan.15,32281.62,France,Paris,Paid Before Time
100000013,Ryan,MacDonald,Male,24,White Collar,12.Jan.15,40781.63,United Kingdom,Warrington,Major Delay
200000014,Thomas,Lawrence,Male,46,Other,12.Jan.15,48791.46,France,Paris,Paid Before Time
300000015,Madeleine,Marshall,Female,36,Other,12.Jan.15,2846.03,Belgium,Brussels,Paid Before Time
100000016,Nicholas,Newman,Male,42,White Collar,14.Jan.15,2116.85,United Kingdom,London,Major Delay
200000017,Grace,Hill,Female,31,Other,14.Jan.15,10356.31,France,Paris,Minor Delay
100000019,William,Ince,Male,40,Blue Collar,15.Jan.15,65534.69,Italy,Bolzano,Paid Before Time
300000021,Boris,Johnston,Male,37,Other,16.Jan.15,31778.9,United Kingdom,Plymouth,Paid Before Time
200000022,Jason,Butler,Male,58,Blue Collar,18.Jan.15,21252.97,France,Nice,Paid Before Time
100000025,Jennifer,Hughes,Female,38,White Collar,20.Jan.15,20505.32,Germany,Hamburg,Paid Before Time
200000026,Richard,Fraser,Male,55,Blue Collar,21.Jan.15,43249.26,United Kingdom,London,Major Delay
100000028,Alison,Fisher,Female,33,White Collar,25.Jan.15,3428.56,Germany,Munich,Paid Before Time
200000029,Lucas,Mackenzie,Male,50,Blue Collar,25.Jan.15,20516.1,Germany,Berlin,Paid Before Time
100000030,Luke,Wilkins,Male,42,White Collar,27.Jan.15,10813.83,France,Paris,Major Delay
100000031,Megan,Bell,Female,25,White Collar,28.Jan.15,38889.76,United Kingdom,London,Paid Before Time
300000032,Warren,Edmunds,Male,30,White Collar,28.Jan.15,14094.01,United Kingdom,London,Major Delay
200000033,Grace,Chapman,Female,58,Other,29.Jan.15,25865.2,United Kingdom,Edinburgh,Paid Before Time
100000034,Jake,Wilson,Male,26,Other,30.Jan.15,5833.62,Italy,Milan,Paid Before Time
100000035,Karen,Dyer,Female,34,Blue Collar,31.Jan.15,77809.59,Germany,Berlin,Paid Before Time
100000037,Sophie,Gill,Female,33,White Collar,31.Jan.15,20504.37,United Kingdom,London,Paid Before Time
